"S.No.","State/UT","Required","Sanctioned","InPosition","Vacant","Shortfall"
"1","Andhra Pradesh","1,624","1,390","1,149","241","475"
"2","Arunachal Pradesh","97","NA","NA","NA","NA"
"3","Assam","938","NA","452","NA","486"
"4","Bihar## ","1,863","850","358","492","1,505"
"5","Chhattisgarh","741","1,034","749","285","Surplus"
"6","Goa","19","20","18","2","1"
"7","Gujarat","1,123","1,084","875","209","248"
"8","Haryana","444","484","398","86","46"
"9","Himachal Pradesh","453","350","245","105","208"
"10","Jammu & Kashmir","397","375","88","287","309"
"11","Jharkhand","330","NA","85","NA","245"
"12","Karnataka","2,310","3,813","1,036","2,777","1,274"
"13","Kerala","809","809","795","14","14"
"14","Madhya Pradesh ","1,156","726","546","180","610"
"15","Maharashtra","1,809","3,814","2,955","859","Surplus"
"16","Manipur","80","73","72","1","8"
"17","Meghalaya","109","85","79","6","30"
"18","Mizoram##","57","57","12","45","45"
"19","Nagaland##","126","15","16","Surplus","110"
"20","Odisha","1,228","1,162","920","242","308"
"21","Punjab","446","441","387","54","59"
"22","Rajasthan","1,517","1,369","1,420","Surplus","97"
"23","Sikkim","24","24","18","6","6"
"24","Tamil Nadu","1,204","1,204","1,022","182","182"
"25","Tripura","79","NA","7","NA","72"
"26","Uttarakhand","239","141","137","4","102"
"27","Uttar Pradesh#","3,692","3,811","2,040","1,771","1,652"
"28","West Bengal","909","0","0","0","909"
"29","A& N Islands","19","19","10","9","9"
"30","Chandigarh  ","0","0","0","0","0"
"31","D & N Haveli","6","7","1","6","5"
"32","Daman & Diu","3","0","0","0","3"
"33","Delhi","8","12","8","4","0"
"34","Lakshadweep","4","1","1","0","3"
